"","nwsID","wrccID","nessID","siteName","longitude","latitude","timezone","elevation","countryCode","stateCode","agency"
"118","020215",NA,NA,"MORMON LAKE",-111.4427778,34.91388889,"America/Phoenix",7400,"US","AZ",NA
"119","020115",NA,NA,"MOSSBASIN",-113.8925,35.03361111,"America/Phoenix",4650,"US","AZ",NA
"120","034503",NA,NA,"MARRIANNA",-90.72222222,34.75611111,"America/Chicago",210,"US","AR",NA
"121","020107",NA,NA,"LOGAN",-113.1994444,36.35305556,"America/Phoenix",7630,"US","AZ",NA
"122","021007",NA,NA,"MULE SHOE",-110.2719444,32.40388889,"America/Phoenix",4560,"US","AZ",NA
"123","020119",NA,NA,"MUSIC MTN",-113.7938889,35.61472222,"America/Phoenix",5190,"US","AZ",NA
"124","020307",NA,NA,"NAVAJO MONUMENT",-110.5411111,36.67666667,"America/Denver",7279,"US","AZ",NA
"125","020113",NA,NA,"NIXON",-113.1577778,36.38833333,"America/Phoenix",6500,"US","AZ",NA
"126","500102",NA,NA,"NOATAK",-158.7041667,68.07083333,"America/Anchorage",985,"US","AK",NA
"127","021010",NA,NA,"NOON CREEK",-109.7883333,32.66666667,"America/Phoenix",5000,"US","AZ",NA
"128","500317",NA,NA,"NORUTAK LAKE",-154.3416667,66.84861111,"America/Anchorage",800,"US","AK",NA
"129","021502",NA,NA,"OATMAN",-113.1386111,33.04944444,"America/Phoenix",1700,"US","AZ",NA
"130","034702",NA,NA,"ODEN",-93.80611111,34.62416667,"America/Chicago",896,"US","AR",NA
"131","500755",NA,NA,"OKLAHOMA",-146.4280556,64.01666667,"America/Anchorage",1587,"US","AK",NA
"132","013201",NA,NA,"OAKMULGEE",-87.17055556,32.95722222,"America/Chicago",363,"US","AL",NA
"133","020108",NA,NA,"OLAF",-113.8166667,36.5,"America/Phoenix",3200,"US","AZ",NA
"134","422804",NA,NA,"STGEO",-113.5766667,37.08305556,"America/Denver",2800,"US","UT",NA
"135","015902",NA,NA,"OPNPND",-86.54861111,31.09444444,"America/Chicago",275,"US","AL",NA
"136","500810",NA,NA,"PORT ALSWORTH",-154.32,60.19583333,"America/Anchorage",321,"US","AK",NA
"137","020226",NA,NA,"PARIA POINT",-111.8216667,36.72777778,"America/Phoenix",7235,"US","AZ",NA
"138","500931",NA,NA,"PAXSON",-145.49,63.03,"America/Anchorage",2670,"US","AK",NA
"139","020602",NA,NA,"PAYSON",-111.3011111,34.23916667,"America/Phoenix",5003,"US","AZ",NA
